CCF简称,全称,出版社,网址,领域,评级,DBLP简称
IJCIS,International Journal of Cooperative Information Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijcis/,数据库/内容检索/数据挖掘,C,ijcis
IJGIS,International Journal of Geographical Information Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/gis/,数据库/内容检索/数据挖掘,C,gis
IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/,数据库/内容检索/数据挖掘,C,ijis
IJKM,International Journal of Knowledge Management,IGI,http://dblp.uni-trier.de/db/journals/ijkm/,数据库/内容检索/数据挖掘,C,ijkm
IJSWIS,International Journal on Semantic Web and Information Systems,IGI,http://dblp.uni-trier.de/db/journals/ijswis/,数据库/内容检索/数据挖掘,C,ijswis
JCIS,Journal of Computer Information Systems,IACIS,http://dblp.uni-trier.de/db/journals/jcis/,数据库/内容检索/数据挖掘,C,jcis
JDM,Journal of Database Management,IGI-Global,http://dblp.uni-trier.de/db/journals/jdm/,数据库/内容检索/数据挖掘,C,jdm
JIIS,Journal of Intelligent Information Systems,Springer,http://dblp.uni-trier.de/db/journals/jiis/,数据库/内容检索/数据挖掘,C,jiis
JSIS,Journal of Strategic Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/jsis/,数据库/内容检索/数据挖掘,C,jsis
SIGMOD,ACM Conference on Management of Data,ACM,http://dblp.uni-trier.de/db/conf/sigmod/,数据库/内容检索/数据挖掘,A,sigmod
SIGKDD,ACM Knowledge Discovery and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/kdd/,数据库/内容检索/数据挖掘,A,kdd
SIGIR,International Conference on Research on Development in Information Retrieval,ACM,http://dblp.uni-trier.de/db/conf/sigir/,数据库/内容检索/数据挖掘,A,sigir
VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann/ACM,http://dblp.uni-trier.de/db/conf/vldb/,数据库/内容检索/数据挖掘,A,vldb
ICDE,IEEE International Conference on Data Engineering,IEEE,http://dblp.uni-trier.de/db/conf/icde/,数据库/内容检索/数据挖掘,A,icde
CIKM,ACM International Conference on Information and Knowledge Management,ACM,http://dblp.uni-trier.de/db/conf/cikm/,数据库/内容检索/数据挖掘,B,cikm
PODS,ACM SIGMOD Conference on Principles of DB Systems,ACM,http://dblp.uni-trier.de/db/conf/pods/,数据库/内容检索/数据挖掘,B,pods
DASFAA,Database Systems for Advanced Applications,Springer,http://dblp.uni-trier.de/db/conf/dasfaa/,数据库/内容检索/数据挖掘,B,dasfaa
ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.uni-trier.de/db/conf/ecml/,数据库/内容检索/数据挖掘,B,ecml
ISWC,IEEE International Semantic Web Conference,IEEE,http://dblp.uni-trier.de/db/conf/semweb/,数据库/内容检索/数据挖掘,B,semweb
ICDM,International Conference on Data Mining,IEEE,http://dblp.uni-trier.de/db/conf/icdm/,数据库/内容检索/数据挖掘,B,icdm
ICDT,International Conference on Database Theory,Springer,http://dblp.uni-trier.de/db/conf/icdt/,数据库/内容检索/数据挖掘,B,icdt
EDBT,International Conference on Extending DB Technology,Springer,http://dblp.uni-trier.de/db/conf/edbt/,数据库/内容检索/数据挖掘,B,edbt
CIDR,International Conference on Innovation Database Research,Online Proceeding,http://dblp.uni-trier.de/db/conf/cidr/,数据库/内容检索/数据挖掘,B,cidr
SDM,SIAM International Conference on Data Mining,SIAM,http://dblp.uni-trier.de/db/conf/sdm/,数据库/内容检索/数据挖掘,B,sdm
WSDM,ACM International Conference on Web Search and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/wsdm/,数据库/内容检索/数据挖掘,B,wsdm
DEXA,Database and Expert System Applications,Springer,http://dblp.uni-trier.de/db/conf/dexa/,数据库/内容检索/数据挖掘,C,dexa
ECIR,European Conference on IR Research,Springer,http://dblp.uni-trier.de/db/conf/ecir/,数据库/内容检索/数据挖掘,C,ecir
WebDB,International ACM Workshop on Web and Databases,ACM,http://dblp.uni-trier.de/db/conf/webdb/,数据库/内容检索/数据挖掘,C,webdb
ER,International Conference on Conceptual Modeling,Springer,http://dblp.uni-trier.de/db/conf/er/,数据库/内容检索/数据挖掘,C,er
MDM,International Conference on Mobile Data Management,IEEE,http://dblp.uni-trier.de/db/conf/mdm/,数据库/内容检索/数据挖掘,C,mdm
SSDBM,International Conference on Scientific and Statistical DB Management,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/,数据库/内容检索/数据挖掘,C,ssdbm
WAIM,International Conference on Web Age Information Management,Springer,http://dblp.uni-trier.de/db/conf/waim/,数据库/内容检索/数据挖掘,C,waim
SSTD,International Symposium on Spatial and Temporal Databases,Springer,http://dblp.uni-trier.de/db/conf/ssd/,数据库/内容检索/数据挖掘,C,ssd
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,http://dblp.uni-trier.de/db/conf/pakdd/,数据库/内容检索/数据挖掘,C,pakdd
APWeb,The Asia Pacific Web Conference,Springer,http://dblp.uni-trier.de/db/conf/apweb/,数据库/内容检索/数据挖掘,C,apweb
WISE,Web Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/wise/,数据库/内容检索/数据挖掘,C,wise
ESWC,Extended Semantic Web Conference,Elsevier,http://dblp.uni-trier.de/db/conf/esws/,数据库/内容检索/数据挖掘,C,esws
IANDC,Information and Computation,Elsevier,http://dblp.uni-trier.de/db/journals/iandc/,计算机科学理论,A,iandc
SICOMP,SIAM Journal on Computing,SIAM,http://dblp.uni-trier.de/db/journals/siamcomp/,计算机科学理论,A,siamcomp
TIT,IEEE Transactions on Information Theory,IEEE,http://dblp.uni-trier.de/db/journals/tit/,计算机科学理论,A,tit
TALG,ACM Transactions on Algorithms,ACM,http://dblp.uni-trier.de/db/journals/talg/,计算机科学理论,B,talg
TOCL,ACM Transactions on Computational Logic,ACM,http://dblp.uni-trier.de/db/journals/tocl/,计算机科学理论,B,tocl
TOMS,ACM Transactions on Mathematical Software,ACM,http://dblp.uni-trier.de/db/journals/toms/,计算机科学理论,B,toms
Algorithmica,Algorithmica,Springer,http://dblp.uni-trier.de/db/journals/algorithmica/,计算机科学理论,B,algorithmica
CC,Computational complexity,Springer,http://dblp.uni-trier.de/db/journals/cc/,计算机科学理论,B,cc
FAC,Formal Aspects of Computing,Springer,http://dblp.uni-trier.de/db/journals/fac/,计算机科学理论,B,fac
FMSD,Formal Methods in System Design,Springer,http://dblp.uni-trier.de/db/journals/fmsd/,计算机科学理论,B,fmsd
INFORMS,INFORMS Journal on Computing,INFORMS,http://dblp.uni-trier.de/db/journals/informs/,计算机科学理论,B,informs
JCSS,Journal of Computer and System Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/jcss/,计算机科学理论,B,jcss
JGO,Journal of Global Optimization,Springer,http://dblp.uni-trier.de/db/journals/jgo/,计算机科学理论,B,jgo
JSC,Journal of Symbolic Computation,Elsevier,http://dblp.uni-trier.de/db/journals/jsc/,计算机科学理论,B,jsc
MSCS,Mathematical Structures in Computer Science,Cambridge University Press,http://dblp.uni-trier.de/db/journals/mscs/,计算机科学理论,B,mscs
TCS,Theoretical Computer Science,Elsevier,http://dblp.uni-trier.de/db/journals/tcs/,计算机科学理论,B,tcs
APAL,Annals of Pure and Applied Logic,Elsevier,http://dblp.uni-trier.de/db/journals/apal/,计算机科学理论,C,apal
ACTA,Acta Informatica,Springer,http://dblp.uni-trier.de/db/journals/acta/,计算机科学理论,C,acta
DAM,Discrete Applied Mathematics,Elsevier,http://dblp.uni-trier.de/db/journals/dam/,计算机科学理论,C,dam
FUIN,Fundamenta Informaticae,IOS Press,http://dblp.uni-trier.de/db/journals/fuin/,计算机科学理论,C,fuin
LISP,Higher-Order and Symbolic Computation,Springer,http://dblp.uni-trier.de/db/journals/lisp/,计算机科学理论,C,lisp
IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/,计算机科学理论,C,ipl
JCOMPLEXITY,Journal of Complexity,Elsevier,http://dblp.uni-trier.de/db/journals/jc/,计算机科学理论,C,jc
LOGCOM,Journal of Logic and Computation,Oxford University Press,http://dblp.uni-trier.de/db/journals/logcom/,计算机科学理论,C,logcom
,Journal of Symbolic Logic,Association for Symbolic Logic,http://dblp.uni-trier.de/db/journals/jsyml/,计算机科学理论,C,jsyml
LMCS,Logical Methods in Computer Science,LMCS,http://dblp.uni-trier.de/db/journals/lmcs/,计算机科学理论,C,lmcs
SIDMA,SIAM Journal on Discrete Mathematics,SIAM,http://dblp.uni-trier.de/db/journals/siamdm/,计算机科学理论,C,siamdm
,Theory of Computing Systems,Springer,http://dblp.uni-trier.de/db/journals/mst/,计算机科学理论,C,mst
STOC,ACM Symposium on Theory of Computing,ACM,http://dblp.uni-trier.de/db/conf/stoc/,计算机科学理论,A,stoc
FOCS,IEEE Symposium on Foundations of Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/focs/,计算机科学理论,A,focs
LICS,IEEE Symposium on Logic in Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/lics/,计算机科学理论,A,lics
CAV,Computer Aided Verification,Springer,http://dblp.uni-trier.de/db/conf/cav/,计算机科学理论,A,cav
SoCG,ACM Symposium on Computational Geometry,ACM,http://dblp.uni-trier.de/db/conf/compgeom/,计算机科学理论,B,compgeom
SODA,ACM-SIAM Symposium on Discrete Algorithms,SIAM,http://dblp.uni-trier.de/db/conf/soda/,计算机科学理论,B,soda
CADE/IJCAR,Conference on Automated Deduction/The International Joint Conference on Automated Reasoning,Springer,http://dblp.uni-trier.de/db/conf/cade/,计算机科学理论,B,cade
CCC,IEEE Conference on Computational Complexity,IEEE,http://dblp.uni-trier.de/db/conf/coco/,计算机科学理论,B,coco
ICALP,"International Colloquium on Automata, Languages and Programming",Springer,http://dblp.uni-trier.de/db/conf/icalp/,计算机科学理论,B,icalp
CONCUR,International Conference on Concurrency Theory,Springer,http://dblp.uni-trier.de/db/conf/concur/,计算机科学理论,B,concur
HSCC,International Conference on Hybrid Systems:,Springer and ACM,http://dblp.uni-trier.de/db/conf/hybrid/,计算机科学理论,B,hybrid
ESA,European Symposium on Algorithms,Springer,http://dblp.uni-trier.de/db/conf/esa/,计算机科学理论,B,esa
CSL,Computer Science Logic,Springer,http://dblp.uni-trier.de/db/conf/csl/,计算机科学理论,C,csl
FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Indian Association for Research in Computing Science,http://dblp.uni-trier.de/db/conf/fsttcs/,计算机科学理论,C,fsttcs
IPCO,International Conference on Integer Programming and Combinatorial Optimization,Springer,http://dblp.uni-trier.de/db/conf/ipco/,计算机科学理论,C,ipco
RTA,International Conference on Rewriting Techniques and Applications,Springer,http://dblp.uni-trier.de/db/conf/rta/,计算机科学理论,C,rta
ISAAC,International Symposium on Algorithms and Computation,Springer,http://dblp.uni-trier.de/db/conf/isaac/,计算机科学理论,C,isaac
MFCS,Mathematical Foundations of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/mfcs/,计算机科学理论,C,mfcs
STACS,Symposium on Theoretical Aspects of Computer Science,Springer,http://dblp.uni-trier.de/db/conf/stacs/,计算机科学理论,C,stacs
FMCAD,Formal Method in Computer-Aided Design,ACM,http://dblp.uni-trier.de/db/conf/fmcad/,计算机科学理论,C,fmcad
SAT,Theory and Applications of Satisfiability Testing,Springer,http://dblp.uni-trier.de/db/conf/sat/,计算机科学理论,C,sat
ICTAC,International Colloquium on Theoretical Aspects of Computing,Springer,http://dblp.uni-trier.de/db/conf/ictac/,计算机科学理论,C,ictac
TOG,ACM Transactions on Graphics,ACM,http://dblp.uni-trier.de/db/journals/tog/,计算机图形与多媒体,A,tog
TIP,IEEE Transactions on Image Processing,IEEE,http://dblp.uni-trier.de/db/journals/tip/,计算机图形与多媒体,A,tip
TVCG,IEEE Transactions on Visualization and Computer Graphics,IEEE,http://dblp.uni-trier.de/db/journals/tvcg/,计算机图形与多媒体,A,tvcg
TOMCCAP,"ACM Transactions on Multimedia Computing, Communications and Application",ACM,http://dblp.uni-trier.de/db/journals/tomccap/,计算机图形与多媒体,B,tomccap
CAD,Computer-Aided Design,Elsevier,http://dblp.uni-trier.de/db/journals/cad/,计算机图形与多媒体,B,cad
CAGD,Computer Aided Geometric Design,Elsevier,http://dblp.uni-trier.de/db/journals/cagd/,计算机图形与多媒体,B,cagd
CGF,Computer Graphics Forum,Wiley,http://dblp.uni-trier.de/db/journals/cgf/,计算机图形与多媒体,B,cgf
GM,Graphical Models,Elsevier,http://dblp.uni-trier.de/db/journals/cvgip/,计算机图形与多媒体,B,cvgip
TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,IEEE,http://dblp.uni-trier.de/db/journals/tcsv/,计算机图形与多媒体,B,tcsv
TMM,IEEE Transactions on Multimedia,IEEE,http://dblp.uni-trier.de/db/journals/tmm/,计算机图形与多媒体,B,tmm
SIIMS,SIAM Journal on Imaging Sciences,SIAM,http://dblp.uni-trier.de/db/journals/siamis/,计算机图形与多媒体,B,siamis
Speech Com,Speech Communication,Elsevier,http://dblp.uni-trier.de/db/journals/speech/,计算机图形与多媒体,B,speech
C&G,Computers & Graphics-UK,Elsevier,http://dblp.uni-trier.de/db/journals/cg/,计算机图形与多媒体,C,cg
CGTA,Computational Geometry: Theory and Applications,Elsevier,http://dblp.uni-trier.de/db/journals/comgeo/,计算机图形与多媒体,C,comgeo
DCG,Discrete & Computational Geometry,Springer,http://dblp.uni-trier.de/db/journals/dcg/,计算机图形与多媒体,C,dcg
IET-IPR,IET Image Processing,IET,http://dblp.uni-trier.de/db/journals/iet-ipr/,计算机图形与多媒体,C,iet-ipr
,IEEE Signal Processing Letter,IEEE,http://dblp.uni-trier.de/db/journals/spl/,计算机图形与多媒体,C,spl
JVCIR,Journal of Visual Communication and Image Representation,Elsevier,http://dblp.uni-trier.de/db/journals/jvcir/,计算机图形与多媒体,C,jvcir
MS,Multimedia Systems,Springer,http://dblp.uni-trier.de/db/journals/mms/,计算机图形与多媒体,C,mms
MTA,Multimedia Tools and Applications,Springer,http://dblp.uni-trier.de/db/journals/mta/,计算机图形与多媒体,C,mta
,Signal Processing,Elsevier,http://dblp.uni-trier.de/db/journals/sigpro/,计算机图形与多媒体,C,sigpro
SPIC,Signal processing : image communication,Elsevier,http://dblp.uni-trier.de/db/journals/spic/,计算机图形与多媒体,C,spic
TVC,The Visual Computer,Springer,http://dblp.uni-trier.de/db/journals/vc/,计算机图形与多媒体,C,vc
ACM MM,ACM International Conference on Multimedia,ACM,http://dblp.uni-trier.de/db/conf/mm/,计算机图形与多媒体,A,mm
SIGGRAPH,ACM SIGGRAPH Annual Conference,ACM,http://dblp.uni-trier.de/db/conf/siggraph/index.html,计算机图形与多媒体,A,siggraph
IEEE VIS,IEEE Visualization Conference,IEEE,http://dblp.uni-trier.de/db/conf/visualization/index.html,计算机图形与多媒体,A,visualization
VR,IEEE Virtual Reality,IEEE,http://dblp.uni-trier.de/db/conf/vr/,计算机图形与多媒体,A,vr
ICMR,ACM SIGMM International Conference on Multimedia Retrieval,ACM,http://dblp.uni-trier.de/db/conf/mir/,计算机图形与多媒体,B,mir
i3D,ACM Symposium on Interactive 3D Graphics,ACM,http://dblp.uni-trier.de/db/conf/si3d/,计算机图形与多媒体,B,si3d
SCA,ACM/Eurographics Symposium on Computer Animation,ACM,http://dblp.uni-trier.de/db/conf/sca/index.html,计算机图形与多媒体,B,sca
DCC,Data Compression Conference,IEEE,http://dblp.uni-trier.de/db/conf/dcc/,计算机图形与多媒体,B,dcc
EG,Eurographics,Wiley/ Blackwell,http://dblp.uni-trier.de/db/conf/eurographics/,计算机图形与多媒体,B,eurographics
EuroVis,Eurographics Conference on Visualization,ACM,http://dblp.uni-trier.de/db/conf/vissym/,计算机图形与多媒体,B,vissym
SGP,Eurographics Symposium on Geometry Processing,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/sgp/,计算机图形与多媒体,B,sgp
EGSR,Eurographics Symposium on Rendering,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/rt/,计算机图形与多媒体,B,rt
ICME,IEEE International Conference on Multimedia & Expo,IEEE,http://dblp.uni-trier.de/db/conf/icmcs/,计算机图形与多媒体,B,icmcs
PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,Wiley/Blackwell,http://dblp.uni-trier.de/db/conf/pg/index.html,计算机图形与多媒体,B,pg
SPM,Symposium on Solid and Physical Modeling,SMA/Elsevier,http://dblp.uni-trier.de/db/conf/sma/,计算机图形与多媒体,B,sma
ICASSP,"IEEE International Conference on Acoustics, Speech and SP",IEEE,http://dblp.uni-trier.de/db/conf/icassp/,计算机图形与多媒体,B,icassp
CASA,Computer Animation and Social Agents,Wiley,http://dblp.uni-trier.de/db/conf/ca/,计算机图形与多媒体,C,ca
CGI,Computer Graphics International,Springer,http://dblp.uni-trier.de/db/conf/cgi/,计算机图形与多媒体,C,cgi
ISMAR,International Symposium on Mixed and Augmented Reality,IEEE/ACM,http://dblp.uni-trier.de/db/conf/ismar/,计算机图形与多媒体,C,ismar
PacificVis,IEEE Pacific Visualization Symposium,IEEE,http://dblp.uni-trier.de/db/conf/apvis/,计算机图形与多媒体,C,apvis
ICIP,International Conference on Image Processing,IEEE,http://dblp.uni-trier.de/db/conf/icip/,计算机图形与多媒体,C,icip
MMM,International Conference on Multimedia,Springer,http://dblp.uni-trier.de/db/conf/mmm/index.html,计算机图形与多媒体,C,mmm
GMP,Geometric Modeling and Processing,Elsevier,http://dblp.uni-trier.de/db/conf/gmp/,计算机图形与多媒体,C,gmp
PCM,Pacific-Rim Conference on Multimedia,Springer,http://dblp.uni-trier.de/db/conf/pcm/,计算机图形与多媒体,C,pcm
SMI,Shape Modeling International,IEEE,http://dblp.uni-trier.de/db/conf/smi/,计算机图形与多媒体,C,smi
,INTERSPEECH,Conference of the International Speech Communication Association,http://dblp.uni-trier.de/db/conf/interspeech/index.html,计算机图形与多媒体,C,interspeech
AI,Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/ai/,人工智能,A,ai
TPAMI,IEEE Trans on Pattern Analysis and Machine Intelligence,IEEE,http://dblp.uni-trier.de/db/journals/pami/,人工智能,A,pami
IJCV,International Journal of Computer Vision,Springer,http://dblp.uni-trier.de/db/journals/ijcv/,人工智能,A,ijcv
JMLR,Journal of Machine Learning Research,MIT Press,http://dblp.uni-trier.de/db/journals/jmlr/,人工智能,A,jmlr
TAP,ACM Transactions on Applied Perception,ACM,http://dblp.uni-trier.de/db/journals/tap/,人工智能,B,tap
TSLP,ACM Transactions on Speech and Language Processing,ACM,http://dblp.uni-trier.de/db/journals/tslp/,人工智能,B,tslp
,Computational Linguistics,MIT Press,http://dblp.uni-trier.de/db/journals/coling/,人工智能,B,coling
CVIU,Computer Vision and Image Understanding,Elsevier,http://dblp.uni-trier.de/db/journals/cviu/,人工智能,B,cviu
DKE,Data and Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/index.html,人工智能,B,dke
,Evolutionary Computation,MIT Press,http://dblp.uni-trier.de/db/journals/ec/,人工智能,B,ec
TAC,IEEE Transactions on Affective Computing,IEEE,http://dblp.uni-trier.de/db/journals/taffco/,人工智能,B,taffco
TASLP,"IEEE Transactions on Audio, Speech, and Language Processing",IEEE,http://dblp.uni-trier.de/db/journals/taslp/,人工智能,B,taslp
,IEEE Transactions on Cybernetics,IEEE,http://dblp.uni-trier.de/db/journals/tcyb/,人工智能,B,tcyb
TEC,IEEE Transactions on Evolutionary Computation,IEEE,http://dblp.uni-trier.de/db/journals/tec/,人工智能,B,tec
TFS,IEEE Transactions on Fuzzy Systems,IEEE,http://dblp.uni-trier.de/db/journals/tfs/,人工智能,B,tfs
TNNLS,IEEE Transactions on Neural Networks and learning systems,IEEE,http://dblp.uni-trier.de/db/journals/tnn/,人工智能,B,tnn
IJAR,International Journal of Approximate Reasoning,Elsevier,http://dblp.uni-trier.de/db/journals/ijar/,人工智能,B,ijar
JAIR,Journal of AI Research,AAAI,http://dblp.uni-trier.de/db/journals/jair/index.html,人工智能,B,jair
,Journal of Automated Reasoning,Springer,http://dblp.uni-trier.de/db/journals/jar/,人工智能,B,jar
,Machine Learning,Springer,http://dblp.uni-trier.de/db/journals/ml/,人工智能,B,ml
,Neural Computation,MIT Press,http://dblp.uni-trier.de/db/journals/neco/,人工智能,B,neco
,Neural Networks,Elsevier,http://dblp.uni-trier.de/db/journals/nn/,人工智能,B,nn
,Pattern Recognition,Elsevier,http://dblp.uni-trier.de/db/conf/par/,人工智能,B,par
AAMAS,Autonomous Agents and Multi-Agent Systems,Springer,http://dblp.uni-trier.de/db/journals/aamas/,人工智能,B,aamas
TALIP,ACM Transactions on Asian Language Information Processing,ACM,http://dblp.uni-trier.de/db/journals/talip/,人工智能,C,talip
,Applied Intelligence,Springer,http://dblp.uni-trier.de/db/journals/apin/,人工智能,C,apin
AIM,Artificial Intelligence in Medicine,Elsevier,http://dblp.uni-trier.de/db/journals/artmed/,人工智能,C,artmed
,Artificial Life,MIT Press,http://dblp.uni-trier.de/db/journals/alife/,人工智能,C,alife
,Computational Intelligence,Wiley,http://dblp.uni-trier.de/db/journals/ci/,人工智能,C,ci
,Computer Speech and Language,Elsevier,http://dblp.uni-trier.de/db/journals/csl/,人工智能,C,csl
,Connection Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/connection/,人工智能,C,connection
DSS,Decision Support Systems,Elsevier,http://dblp.uni-trier.de/db/journals/dss/,人工智能,C,dss
EAAI,Engineering Applications of Artificial Intelligence,Elsevier,http://dblp.uni-trier.de/db/journals/eaai/,人工智能,C,eaai
,Expert Systems,Blackwell/Wiley,http://dblp.uni-trier.de/db/journals/es/,人工智能,C,es
ESWA,Expert Systems with Applications,Elsevier,http://dblp.uni-trier.de/db/journals/eswa/,人工智能,C,eswa
,Fuzzy Sets and Systems,Elsevier,http://dblp.uni-trier.de/db/journals/fss/,人工智能,C,fss
T-CIAIG,IEEE Transactions on Computational Intelligence and AI in Games,IEEE,http://dblp.uni-trier.de/db/journals/tciaig/,人工智能,C,tciaig
IVC,Image and Vision Computing,Elsevier,http://dblp.uni-trier.de/db/journals/ivc/,人工智能,C,ivc
IDA,Intelligent Data Analysis,Elsevier,http://dblp.uni-trier.de/db/journals/ida/,人工智能,C,ida
IJCIA,International Journal of Computational Intelligence and Applications,World Scientific,http://dblp.uni-trier.de/db/journals/ijcia/,人工智能,C,ijcia
IJDAR,International Journal on Document Analysis and Recognition,Springer,http://dblp.uni-trier.de/db/journals/ijdar/,人工智能,C,ijdar
IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/,人工智能,C,ijis
IJNS,International Journal of Neural Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijns/,人工智能,C,ijns
IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,World Scientific,http://dblp.uni-trier.de/db/journals/ijprai/,人工智能,C,ijprai
JETAI,Journal of Experimental and Theoretical Artificial Intelligence,Taylor & Francis,http://dblp.uni-trier.de/db/journals/jetai/,人工智能,C,jetai
KBS,Knowledge-Based Systems,Elsevier,http://dblp.uni-trier.de/db/journals/kbs/,人工智能,C,kbs
,Machine Translation,Springer,http://dblp.uni-trier.de/db/journals/mt/,人工智能,C,mt
,Machine Vision and Applications,Springer,http://dblp.uni-trier.de/db/journals/mva/,人工智能,C,mva
,Natural Computing,Springer,http://dblp.uni-trier.de/db/journals/nc/,人工智能,C,nc
NLE,Natural Language Engineering,Cambridge University,http://dblp.uni-trier.de/db/journals/nle/,人工智能,C,nle
NCA,Neural Computing & Applications,Springer,http://dblp.uni-trier.de/db/journals/nca/,人工智能,C,nca
NPL,Neural Processing Letters,Springer,http://dblp.uni-trier.de/db/journals/npl/,人工智能,C,npl
,Neurocomputing,Elsevier,http://dblp.uni-trier.de/db/journals/ijon/,人工智能,C,ijon
PAA,Pattern Analysis and Applications,Springer,http://dblp.uni-trier.de/db/journals/paa/,人工智能,C,paa
PRL,Pattern Recognition Letters,Elsevier,http://dblp.uni-trier.de/db/journals/prl/,人工智能,C,prl
,Soft Computing,Springer,http://dblp.uni-trier.de/db/journals/soco/,人工智能,C,soco
WIAS,Web Intelligence and Agent Systems,IOS Press,http://dblp.uni-trier.de/db/journals/wias/,人工智能,C,wias
AAAI,AAAI Conference on Artificial Intelligence,AAAI,http://dblp.uni-trier.de/db/conf/aaai/,人工智能,A,aaai
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,IEEE,http://dblp.uni-trier.de/db/conf/cvpr/,人工智能,A,cvpr
ICCV,International Conference on Computer Vision,IEEE,http://dblp.uni-trier.de/db/conf/iccv/,人工智能,A,iccv
ICML,International Conference on Machine Learning,ACM,http://dblp.uni-trier.de/db/conf/icml/,人工智能,A,icml
IJCAI,International Joint Conference on Artificial Intelligence,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/ijcai/,人工智能,A,ijcai
NIPS,Annual Conference on Neural Information Processing Systems,MIT Press,http://dblp.uni-trier.de/db/conf/nips/,人工智能,A,nips
ACL,Annual Meeting of the Association for Computational Linguistics,ACL,http://dblp.uni-trier.de/db/conf/acl/,人工智能,A,acl
COLT,Annual Conference on Computational Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/colt/,人工智能,B,colt
EMNLP,Conference on Empirical Methods in Natural Language Processing,ACL,http://dblp.uni-trier.de/db/conf/emnlp/,人工智能,B,emnlp
ECAI,European Conference on Artificial Intelligence,IOS Press,http://dblp.uni-trier.de/db/conf/ecai/,人工智能,B,ecai
ECCV,European Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/eccv/,人工智能,B,eccv
ICRA,IEEE International Conference on Robotics and Automation,IEEE,http://dblp.uni-trier.de/db/conf/icra/,人工智能,B,icra
ICAPS,International Conference on Automated Planning and Scheduling,AAAI,http://dblp.uni-trier.de/db/conf/aips/,人工智能,B,aips
ICCBR,International Conference on Case-Based Reasoning,Springer,http://dblp.uni-trier.de/db/conf/iccbr/,人工智能,B,iccbr
COLING,International Conference on Computational Linguistics,ACM,http://dblp.uni-trier.de/db/conf/coling/,人工智能,B,coling
KR,International Conference on,Morgan Kaufmann,http://dblp.uni-trier.de/db/conf/kr/,人工智能,B,kr
UAI,International Conference on Uncertainty in Artificial Intelligence,AUAI,http://dblp.uni-trier.de/db/conf/uai/,人工智能,B,uai
AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,Springer,http://dblp.uni-trier.de/db/conf/atal/index.html,人工智能,B,atal
PPSN,Parallel Problem Solving from Nature,Springer,http://dblp.uni-trier.de/db/conf/ppsn/,人工智能,B,ppsn
ACCV,Asian Conference on Computer Vision,Springer,http://dblp.uni-trier.de/db/conf/accv/,人工智能,C,accv
CoNLL,Conference on Natural Language Learning,CoNLL,http://dblp.uni-trier.de/db/conf/conll,人工智能,C,conll
GECCO,Genetic and Evolutionary Computation Conference,ACM,http://dblp.uni-trier.de/db/conf/gecco/,人工智能,C,gecco
ICTAI,IEEE International Conference on Tools with Artificial Intelligence,IEEE,http://dblp.uni-trier.de/db/conf/ictai/,人工智能,C,ictai
ALT,International Conference on Algorithmic Learning Theory,Springer,http://dblp.uni-trier.de/db/conf/alt/,人工智能,C,alt
ICANN,International Conference on Artificial Neural Networks,Springer,http://dblp.uni-trier.de/db/conf/icann/,人工智能,C,icann
FGR,International Conference on Automatic Face and Gesture Recognition,IEEE,http://dblp.uni-trier.de/db/conf/fgr/,人工智能,C,fgr
ICDAR,International Conference on Document Analysis and Recognition,IEEE,http://dblp.uni-trier.de/db/conf/icdar/,人工智能,C,icdar
ILP,International Conference on Inductive Logic Programming,Springer,http://dblp.uni-trier.de/db/conf/ilp/,人工智能,C,ilp
