CCF简称,全称,出版社,网址,领域,评级,DBLP简称
HotNets,The Workshop on Hot Topics in Networks,ACM,http://dblp.uni-trier.de/db/conf/hotnets/,计算机网络,C,hotnets
WASA,"International Conference on Wireless Algorithms, Systems, and Applications",Springer,http://dblp.uni-trier.de/db/conf/wasa/,计算机网络,C,wasa
TDSC,IEEE Transactions on Dependable and Secure Computing,IEEE,http://dblp.uni-trier.de/db/journals/tdsc/,网络与信息安全,A,tdsc
TIFS,IEEE Transactions on Information Forensics and Security,IEEE,http://dblp.uni-trier.de/db/journals/tifs/,网络与信息安全,A,tifs
,Journal of Cryptology,Springer,http://dblp.uni-trier.de/db/journals/joc/,网络与信息安全,A,joc
TISSEC,ACM Transactions on Information and System Security,ACM,http://dblp.uni-trier.de/db/journals/tissec/,网络与信息安全,B,tissec
,Computers & Security,Elsevier,http://dblp.uni-trier.de/db/journals/compsec/,网络与信息安全,B,compsec
,"Designs, Codes and Cryptography",Springer,http://dblp.uni-trier.de/db/journals/dcc/,网络与信息安全,B,dcc
JCS,Journal of Computer Security,IOS Press,http://dblp.uni-trier.de/db/journals/jcs/,网络与信息安全,B,jcs
,EURASIP Journal on Information Security,Springer,http://dblp.uni-trier.de/db/journals/ejisec/,网络与信息安全,C,ejisec
,IET Information Security,IET,http://dblp.uni-trier.de/db/journals/iet-ifs/,网络与信息安全,C,iet-ifs
IMCS,Information Management & Computer Security,Emerald,http://dblp.uni-trier.de/db/journals/imcs/,网络与信息安全,C,imcs
ISTR,Information Security Technical Report,Elsevier,http://dblp.uni-trier.de/db/journals/istr/,网络与信息安全,C,istr
IJISP,International Journal of Information Security and Privacy,Idea Group Inc,http://dblp.uni-trier.de/db/journals/ijisp/,网络与信息安全,C,ijisp
IJICS,International Journal of Information and Computer Security,Inderscience,http://dblp.uni-trier.de/db/journals/ijics/,网络与信息安全,C,ijics
SCN,Security and Communication Networks,Wiley,http://dblp.uni-trier.de/db/journals/scn/,网络与信息安全,C,scn
CCS,ACM Conference on Computer and Communications Security,ACM,http://dblp.uni-trier.de/db/conf/ccs/,网络与信息安全,A,ccs
CRYPTO,International Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/crypto/,网络与信息安全,A,crypto
EUROCRYPT,European Cryptology Conference,Springer,http://dblp.uni-trier.de/db/conf/eurocrypt/,网络与信息安全,A,eurocrypt
S&P,IEEE Symposium on Security and Privacy,IEEE,http://dblp.uni-trier.de/db/conf/sp/,网络与信息安全,A,sp
USENIX Security,Usenix Security Symposium,USENIX Association,http://dblp.uni-trier.de/db/conf/uss/,网络与信息安全,A,uss
ACSAC,Annual Computer Security Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/acsac/,网络与信息安全,B,acsac
ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,Springer,http://dblp.uni-trier.de/db/conf/asiacrypt/,网络与信息安全,B,asiacrypt
ESORICS,European Symposium on Research in Computer Security,Springer,http://dblp.uni-trier.de/db/conf/esorics/,网络与信息安全,B,esorics
FSE,Fast Software Encryption,Springer,http://dblp.uni-trier.de/db/conf/fse/,网络与信息安全,B,fse
NDSS,ISOC Network and Distributed System Security Symposium,ISOC,http://dblp.uni-trier.de/db/conf/ndss/,网络与信息安全,B,ndss
CSFW,IEEE Computer Security Foundations Workshop,IEEE,http://dblp.uni-trier.de/db/conf/csfw/,网络与信息安全,B,csfw
RAID,International Symposium on Recent Advances in Intrusion Detection,Springer,http://dblp.uni-trier.de/db/conf/raid/,网络与信息安全,B,raid
PKC,International Workshop on Practice and Theory in Public Key Cryptography,Springer,http://dblp.uni-trier.de/db/conf/pkc/,网络与信息安全,B,pkc
DSN,The International Conference on Dependable Systems and Networks,IEEE/IFIP,http://dblp.uni-trier.de/db/conf/dsn/,网络与信息安全,B,dsn
TCC,Theory of Cryptography Conference,Springer,http://dblp.uni-trier.de/db/conf/tcc/,网络与信息安全,B,tcc
SRDS,IEEE International Symposium on Reliable Distributed Systems,IEEE,http://dblp.uni-trier.de/db/conf/srds/,网络与信息安全,B,srds
CHES,Workshop on Cryptographic Hardware and Embedded Systems,Springer,http://dblp.uni-trier.de/db/conf/ches/,网络与信息安全,B,ches
WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM,http://dblp.uni-trier.de/db/conf/wisec/,网络与信息安全,C,wisec
IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,ACM,http://dblp.uni-trier.de/db/conf/ih/,网络与信息安全,C,ih
SACMAT,ACM Symposium on Access Control Models and Technologies,ACM,http://dblp.uni-trier.de/db/conf/sacmat/,网络与信息安全,C,sacmat
ASIACCS,"ACM Symposium on Information, Computer and Communications Security",ACM,http://dblp.uni-trier.de/db/conf/ccs/,网络与信息安全,C,ccs
DRM,ACM Workshop on Digital Rights Management,ACM,http://dblp.uni-trier.de/db/conf/drm/,网络与信息安全,C,drm
ACNS,Applied Cryptography and Network Security,Springer,http://dblp.uni-trier.de/db/conf/acns/,网络与信息安全,C,acns
ACISP,Australasia Conference on Information Security and Privacy,Springer,http://dblp.uni-trier.de/db/conf/acisp/,网络与信息安全,C,acisp
DFRWS,Digital Forensic Research Workshop,Elsevier,http://dblp.uni-trier.de/db/conf/dfrws/,网络与信息安全,C,dfrws
FC,Financial Cryptography and Data Security,Springer,http://dblp.uni-trier.de/db/conf/fc/,网络与信息安全,C,fc
DIMVA,Detection of Intrusions and Malware & Vulnerability Assessment,,http://dblp.uni-trier.de/db/conf/dimva/,网络与信息安全,C,dimva
SEC,IFIP International Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/sec/,网络与信息安全,C,sec
ISC,Information Security Conference,Springer,http://dblp.uni-trier.de/db/conf/isw/,网络与信息安全,C,isw
ICICS,International Conference on Information and Communications Security,Springer,http://dblp.uni-trier.de/db/conf/icics/,网络与信息安全,C,icics
